iteracja	x	epsilon
265	2.197722	0.010147
266	2.197909	0.004048
267	2.198189	0.009895
268	2.197312	0.000467
269	2.198077	0.000598
270	2.197861	0.000112
271	2.197703	0.000549
272	2.197951	0.000373
273	2.196091	0.000090
274	2.197533	0.001612
275	2.200741	0.000418
276	2.198148	0.004650
277	2.198096	0.000615
278	2.197581	0.002645
279	2.198342	0.000567
280	2.197821	0.000247
281	2.197982	0.000240
282	2.198078	0.000360
283	2.197796	0.000257
284	2.198062	0.000187
285	2.197907	0.000016
286	2.197889	0.000111
287	2.197974	0.000173
288	2.197749	0.000068
289	2.197858	0.000139
290	2.197691	0.000116
291	2.196829	0.000058
292	2.195474	0.001029
293	2.198253	0.002217
294	2.198061	0.001424
295	2.197835	0.002587
296	2.198459	0.000418
297	2.197916	0.000398
298	2.198123	0.000081
299	2.198220	0.000335
300	2.198035	0.000304
301	2.198745	0.000088
302	2.198307	0.000524
303	2.199701	0.000272
304	2.197695	0.000956
305	2.197780	0.000612
306	2.198133	0.001921
307	2.200009	0.000437
308	2.197947	0.002229
309	2.197491	0.000186
310	2.198668	0.002518
311	2.196896	0.000721
312	2.198025	0.000595
313	2.197976	0.000643
314	2.197317	0.001080
315	2.198003	0.000708
316	2.197012	0.000027
317	2.197366	0.000305
318	2.197106	0.000637
319	2.198149	0.000095
320	2.198157	0.000783
321	2.197795	0.001050
322	2.198568	0.000353
323	2.197973	0.000412
324	2.198116	0.000178
325	2.198429	0.000452
326	2.198087	0.000456
327	2.227143	0.000029
328	2.199979	0.028714
329	2.197360	0.001892
330	2.197842	0.029784
331	2.198059	0.002136
332	2.198887	0.000699
333	2.197919	0.001045
334	2.177308	0.000140
335	2.198348	0.021580
336	2.198650	0.000429
337	2.197884	0.021342
338	2.197706	0.000464
339	2.198223	0.000943
340	2.196872	0.000339
341	2.197971	0.000834
342	2.197849	0.000251
343	2.195337	0.000977
344	2.197809	0.002635
345	2.198426	0.000041
346	2.198329	0.003090
347	2.198095	0.000520
348	2.197564	0.000332
349	2.199110	0.000765
350	2.197814	0.001015
351	2.198070	0.000250
352	2.198191	0.001041
353	2.197910	0.000377
354	2.198359	0.000160
355	2.198079	0.000168
356	2.198170	0.000169
357	2.199003	0.000189
358	2.198342	0.000924
359	2.197495	0.000172
360	2.197763	0.001508
361	2.197965	0.000579
362	2.198587	0.000470
363	2.197684	0.000825
364	2.198407	0.000281
365	2.198063	0.000180
366	2.198029	0.000379
367	2.198966	0.000378
368	2.198098	0.000903
369	2.200418	0.000069
370	2.196774	0.001453
371	2.197313	0.001324
372	2.198031	0.003106
373	2.198127	0.001257
374	2.197545	0.000814
375	2.198174	0.000486
376	2.197848	0.000047
377	2.197892	0.000303
378	2.198017	0.000282
379	2.197630	0.000169
380	2.197915	0.000262
381	2.197693	0.000102
382	2.196914	0.000063
383	2.197246	0.001002
384	2.198262	0.000447
385	2.198126	0.001348
386	2.197901	0.000880
387	2.199113	0.000361
388	2.198024	0.000987
389	2.198334	0.000123
390	2.200652	0.000778
391	2.198436	0.002627
392	2.197814	0.000102
393	2.197854	0.002837
394	2.198101	0.000582
395	2.197331	0.000287
396	2.197968	0.000523
397	2.197759	0.000134
398	2.196863	0.000428
399	2.197685	0.001105
400	2.198329	0.000074
401	2.198251	0.001466
402	2.198008	0.000566
403	2.197051	0.000321
404	2.198274	0.001200
405	2.197206	0.000267
406	2.197891	0.000155
407	2.197903	0.000383
408	2.199468	0.000698
409	2.197748	0.001577
410	2.198379	0.000155
411	2.198155	0.001090
412	2.198048	0.000407
413	2.194511	0.000331
414	2.198242	0.003645
415	2.197220	0.000194
416	2.197819	0.002709
417	2.197888	0.000423
418	2.198579	0.000668
419	2.197532	0.000760
420	2.198212	0.000356
421	2.198021	0.000366
422	2.197915	0.000490
423	2.198261	0.000297
424	2.197941	0.000240
425	2.198127	0.000026
426	2.198160	0.000134
427	2.198062	0.000219
428	2.198481	0.000065
429	2.198280	0.000321
430	2.199351	0.000218
431	2.197530	0.000870
432	2.197743	0.000749
433	2.198071	0.001608
434	2.198567	0.000541
435	2.197866	0.000824
436	2.201303	0.000205
437	2.198181	0.002736
438	2.198346	0.000315
439	2.197670	0.002957
440	2.195629	0.000511
441	2.198008	0.002716
442	2.198194	0.000338
443	2.196396	0.002565
444	2.198212	0.001612
445	2.197804	0.000018
446	2.197821	0.001408
447	2.198012	0.000391
448	2.196905	0.000208
449	2.197843	0.000916
450	2.197166	0.000169
451	2.198557	0.000260
452	2.198673	0.000715
453	2.197976	0.001507
454	2.197804	0.000581
455	2.198510	0.000869
456	2.197764	0.000534
457	2.198111	0.000041
458	2.198086	0.000399
459	2.197920	0.000322
460	2.198247	0.000191
461	2.198008	0.000161
462	2.198124	0.000088
463	2.198270	0.000123
464	2.198138	0.000262
465	2.199169	0.000014
466	2.199527	0.000899
467	2.197392	0.001389
468	2.197917	0.001777
469	2.198054	0.001610
470	2.187143	0.000662
471	2.197976	0.010774
472	2.197179	0.000078
473	2.200997	0.010037
474	2.196722	0.003021
475	2.198054	0.000458
476	2.198035	0.002943
477	2.197491	0.001314
478	2.198096	0.000563
479	2.197656	0.000060
480	2.197791	0.000165
481	2.197851	0.000305
482	2.199561	0.000196
483	2.197153	0.001770
484	2.198266	0.000698
485	2.198033	0.001295
486	2.197895	0.000880
487	2.198369	0.000371
488	2.197935	0.000336
489	2.198155	0.000040
490	2.198213	0.000214
491	2.198079	0.000278
492	2.199060	0.000077
493	2.198441	0.000846
494	2.196240	0.000363
495	2.197814	0.002820
496	2.197922	0.000627
497	2.198375	0.001682
498	2.197643	0.000561
499	2.198195	0.000279
500	2.198008	0.000180
501	2.197934	0.000365
502	2.198214	0.000261
503	2.197945	0.000206
504	2.198119	0.000011
505	2.198133	0.000095
506	2.198060	0.000188
507	2.198371	0.000060
508	2.198232	0.000238
509	2.198781	0.000173
510	2.197118	0.000409
511	2.197600	0.001115
512	2.197997	0.001180
513	2.198226	0.000879
514	2.197599	0.000625
515	2.198225	0.000398
