x y interpolated
-3 -0.3 -0.3
-2.94472 -0.304478 2.65358
-2.88945 -0.309068 4.29664
-2.83417 -0.313774 5.0033
-2.77889 -0.318598 5.06559
-2.72362 -0.323543 4.70808
-2.66834 -0.328612 4.10034
-2.61307 -0.333805 3.36752
-2.55779 -0.339127 2.59922
-2.50251 -0.344577 1.857
-2.44724 -0.350157 1.18059
-2.39196 -0.355868 0.593007
-2.33668 -0.361711 0.104801
-2.28141 -0.367683 -0.282539
-2.22613 -0.373784 -0.573832
-2.17085 -0.380011 -0.778029
-2.11558 -0.38636 -0.906512
-2.0603 -0.392824 -0.971796
-2.00503 -0.399397 -0.986567
-1.94975 -0.406069 -0.96298
-1.89447 -0.412827 -0.912186
-1.8392 -0.419655 -0.844035
-1.78392 -0.426533 -0.766911
-1.72864 -0.433439 -0.687683
-1.67337 -0.440342 -0.61173
-1.61809 -0.447207 -0.543023
-1.56281 -0.453991 -0.484257
-1.50754 -0.460645 -0.436994
-1.45226 -0.467106 -0.401834
-1.39698 -0.473303 -0.378577
-1.34171 -0.479151 -0.366393
-1.28643 -0.484549 -0.363975
-1.23116 -0.48938 -0.369685
-1.17588 -0.493509 -0.38168
-1.1206 -0.496776 -0.398029
-1.06533 -0.499001 -0.416809
-1.01005 -0.499975 -0.436177
-0.954774 -0.499465 -0.45444
-0.899497 -0.497208 -0.470098
-0.844221 -0.492916 -0.481876
-0.788945 -0.486272 -0.488745
-0.733668 -0.476944 -0.48993
-0.678392 -0.464583 -0.484906
-0.623116 -0.448842 -0.473394
-0.567839 -0.429387 -0.455338
-0.512563 -0.405919 -0.43089
-0.457286 -0.378201 -0.400381
-0.40201 -0.346079 -0.364296
-0.346734 -0.309522 -0.323244
-0.291457 -0.268637 -0.277931
-0.236181 -0.223702 -0.229131
-0.180905 -0.175172 -0.177659
-0.125628 -0.123676 -0.124344
-0.0703518 -0.0700053 -0.0700104
-0.0150754 -0.015072 -0.0154549
0.040201 0.0401361 0.0385701
0.0954774 0.0946149 0.0913708
0.150754 0.147404 0.142323
0.20603 0.197641 0.190881
0.261307 0.244605 0.236584
0.316583 0.287744 0.279056
0.371859 0.326685 0.31801
0.427136 0.361231 0.353244
0.482412 0.391339 0.384639
0.537688 0.417101 0.412153
0.592965 0.438711 0.435815
0.648241 0.456438 0.455716
0.703518 0.4706 0.472004
0.758794 0.481539 0.484872
0.81407 0.489604 0.494552
0.869347 0.495139 0.501303
0.924623 0.498468 0.505405
0.979899 0.499897 0.507151
1.03518 0.499701 0.506838
1.09045 0.498131 0.50476
1.14573 0.495409 0.501202
1.20101 0.491729 0.496436
1.25628 0.487263 0.490716
1.31156 0.482158 0.484274
1.36683 0.476542 0.477317
1.42211 0.470524 0.470028
1.47739 0.464197 0.46256
1.53266 0.45764 0.455044
1.58794 0.45092 0.44758
1.64322 0.444093 0.440248
1.69849 0.437206 0.433101
1.75377 0.430298 0.426174
1.80905 0.423402 0.419481
1.86432 0.416543 0.413024
1.9196 0.409745 0.406791
1.97487 0.403025 0.400758
2.03015 0.396397 0.394898
2.08543 0.389872 0.389178
2.1407 0.383459 0.383564
2.19598 0.377165 0.378021
2.25126 0.370995 0.37252
2.30653 0.364952 0.367033
