x y interpolated
-3 -0.3 -0.3
-2.94472 -0.304478 -0.0794078
-2.88945 -0.309068 0.089026
-2.83417 -0.313774 0.212154
-2.77889 -0.318598 0.296211
-2.72362 -0.323543 0.346852
-2.66834 -0.328612 0.369196
-2.61307 -0.333805 0.36786
-2.55779 -0.339127 0.346996
-2.50251 -0.344577 0.310323
-2.44724 -0.350157 0.26116
-2.39196 -0.355868 0.202458
-2.33668 -0.361711 0.136822
-2.28141 -0.367683 0.0665464
-2.22613 -0.373784 -0.0063679
-2.17085 -0.380011 -0.0801842
-2.11558 -0.38636 -0.15341
-2.0603 -0.392824 -0.224775
-2.00503 -0.399397 -0.293212
-1.94975 -0.406069 -0.357838
-1.89447 -0.412827 -0.417936
-1.8392 -0.419655 -0.472943
-1.78392 -0.426533 -0.522426
-1.72864 -0.433439 -0.566078
-1.67337 -0.440342 -0.603697
-1.61809 -0.447207 -0.635178
-1.56281 -0.453991 -0.660501
-1.50754 -0.460645 -0.679718
-1.45226 -0.467106 -0.692947
-1.39698 -0.473303 -0.700358
-1.34171 -0.479151 -0.702171
-1.28643 -0.484549 -0.698643
-1.23116 -0.48938 -0.690064
-1.17588 -0.493509 -0.676748
-1.1206 -0.496776 -0.659031
-1.06533 -0.499001 -0.637262
-1.01005 -0.499975 -0.6118
-0.954774 -0.499465 -0.58301
-0.899497 -0.497208 -0.551259
-0.844221 -0.492916 -0.516911
-0.788945 -0.486272 -0.480326
-0.733668 -0.476944 -0.441856
-0.678392 -0.464583 -0.401845
-0.623116 -0.448842 -0.360623
-0.567839 -0.429387 -0.318507
-0.512563 -0.405919 -0.275801
-0.457286 -0.378201 -0.232791
-0.40201 -0.346079 -0.189747
-0.346734 -0.309522 -0.146921
-0.291457 -0.268637 -0.104547
-0.236181 -0.223702 -0.0628399
-0.180905 -0.175172 -0.0219979
-0.125628 -0.123676 0.0178011
-0.0703518 -0.0700053 0.0563974
-0.0150754 -0.015072 0.0936493
0.040201 0.0401361 0.129433
0.0954774 0.0946149 0.163643
0.150754 0.147404 0.196188
0.20603 0.197641 0.226997
0.261307 0.244605 0.256011
0.316583 0.287744 0.283188
0.371859 0.326685 0.308499
0.427136 0.361231 0.331929
0.482412 0.391339 0.353475
0.537688 0.417101 0.373146
0.592965 0.438711 0.390962
0.648241 0.456438 0.406952
0.703518 0.4706 0.421153
0.758794 0.481539 0.433614
0.81407 0.489604 0.444387
0.869347 0.495139 0.453532
0.924623 0.498468 0.461115
0.979899 0.499897 0.467207
1.03518 0.499701 0.471882
1.09045 0.498131 0.475218
1.14573 0.495409 0.477294
1.20101 0.491729 0.478194
1.25628 0.487263 0.477999
1.31156 0.482158 0.476794
1.36683 0.476542 0.474662
1.42211 0.470524 0.471687
1.47739 0.464197 0.46795
1.53266 0.45764 0.463531
1.58794 0.45092 0.45851
