x y interpolated
-3 -0.3 -0.246992
-2.94472 -0.304478 -0.303944
-2.88945 -0.309068 -0.341435
-2.83417 -0.313774 -0.363666
-2.77889 -0.318598 -0.37425
-2.72362 -0.323543 -0.376264
-2.66834 -0.328612 -0.372309
-2.61307 -0.333805 -0.364555
-2.55779 -0.339127 -0.354786
-2.50251 -0.344577 -0.344445
-2.44724 -0.350157 -0.334673
-2.39196 -0.355868 -0.326343
-2.33668 -0.361711 -0.320097
-2.28141 -0.367683 -0.31637
-2.22613 -0.373784 -0.315427
-2.17085 -0.380011 -0.31738
-2.11558 -0.38636 -0.322218
-2.0603 -0.392824 -0.329824
-2.00503 -0.399397 -0.339995
-1.94975 -0.406069 -0.35246
-1.89447 -0.412827 -0.366898
-1.8392 -0.419655 -0.382947
-1.78392 -0.426533 -0.400217
-1.72864 -0.433439 -0.418306
-1.67337 -0.440342 -0.436805
-1.61809 -0.447207 -0.455305
-1.56281 -0.453991 -0.47341
-1.50754 -0.460645 -0.490738
-1.45226 -0.467106 -0.506928
-1.39698 -0.473303 -0.521643
-1.34171 -0.479151 -0.534578
-1.28643 -0.484549 -0.545454
-1.23116 -0.48938 -0.554029
-1.17588 -0.493509 -0.560095
-1.1206 -0.496776 -0.563477
-1.06533 -0.499001 -0.564037
-1.01005 -0.499975 -0.561672
-0.954774 -0.499465 -0.556314
-0.899497 -0.497208 -0.547928
-0.844221 -0.492916 -0.536512
-0.788945 -0.486272 -0.522097
-0.733668 -0.476944 -0.504739
-0.678392 -0.464583 -0.484525
-0.623116 -0.448842 -0.461566
-0.567839 -0.429387 -0.435996
-0.512563 -0.405919 -0.407972
-0.457286 -0.378201 -0.377667
-0.40201 -0.346079 -0.345272
-0.346734 -0.309522 -0.31099
-0.291457 -0.268637 -0.275039
-0.236181 -0.223702 -0.237642
-0.180905 -0.175172 -0.199032
-0.125628 -0.123676 -0.159446
-0.0703518 -0.0700053 -0.119123
-0.0150754 -0.015072 -0.0783022
0.040201 0.0401361 -0.0372224
0.0954774 0.0946149 0.00388154
0.150754 0.147404 0.04478
0.20603 0.197641 0.08525
0.261307 0.244605 0.125077
0.316583 0.287744 0.164055
0.371859 0.326685 0.201991
0.427136 0.361231 0.238702
0.482412 0.391339 0.274018
0.537688 0.417101 0.307785
0.592965 0.438711 0.339861
0.648241 0.456438 0.370121
0.703518 0.4706 0.398452
0.758794 0.481539 0.424762
0.81407 0.489604 0.44897
0.869347 0.495139 0.471015
0.924623 0.498468 0.490849
0.979899 0.499897 0.508441
1.03518 0.499701 0.523775
1.09045 0.498131 0.536852
1.14573 0.495409 0.547685
1.20101 0.491729 0.556301
1.25628 0.487263 0.562744
1.31156 0.482158 0.567068
1.36683 0.476542 0.569338
1.42211 0.470524 0.569633
1.47739 0.464197 0.568041
1.53266 0.45764 0.564657
1.58794 0.45092 0.559589
1.64322 0.444093 0.552948
1.69849 0.437206 0.544854
1.75377 0.430298 0.535431
1.80905 0.423402 0.524809
1.86432 0.416543 0.513119
1.9196 0.409745 0.500496
1.97487 0.403025 0.487074
2.03015 0.396397 0.472991
2.08543 0.389872 0.458379
2.1407 0.383459 0.443373
2.19598 0.377165 0.428104
2.25126 0.370995 0.412697
2.30653 0.364952 0.397275
2.36181 0.359039 0.381957
2.41709 0.353256 0.366853
2.47236 0.347604 0.352069
2.52764 0.342083 0.337702
2.58291 0.336692 0.323844
2.63819 0.331429 0.310577
2.69347 0.326292 0.297973
2.74874 0.32128 0.286099
2.80402 0.316391 0.27501
2.8593 0.31162 0.264752
2.91457 0.306967 0.255363
2.96985 0.302429 0.246871
3.02513 0.298001 0.239293
3.0804 0.293683 0.232638
3.13568 0.28947 0.226907
3.19095 0.28536 0.22209
3.24623 0.281351 0.21817
3.30151 0.277439 0.215119
3.35678 0.273621 0.212906
3.41206 0.269895 0.211487
3.46734 0.266259 0.210816
3.52261 0.262709 0.210838
3.57789 0.259243 0.211494
3.63317 0.255859 0.212718
3.68844 0.252553 0.214442
3.74372 0.249325 0.216594
3.79899 0.246171 0.219098
3.85427 0.243089 0.221878
3.90955 0.240077 0.224855
3.96482 0.237133 0.227951
4.0201 0.234255 0.231088
4.07538 0.231441 0.234191
4.13065 0.228689 0.237183
4.18593 0.225998 0.239994
4.24121 0.223364 0.242556
4.29648 0.220788 0.244805
4.35176 0.218267 0.246682
4.40704 0.215799 0.248135
4.46231 0.213383 0.249117
4.51759 0.211017 0.249587
4.57286 0.208701 0.249513
4.62814 0.206432 0.248871
4.68342 0.204209 0.247642
4.73869 0.202032 0.245818
4.79397 0.199897 0.243398
4.84925 0.197806 0.24039
4.90452 0.195755 0.236811
4.9598 0.193745 0.232686
5.01508 0.191774 0.228047
5.07035 0.189841 0.222935
5.12563 0.187944 0.217398
5.1809 0.186084 0.211492
5.23618 0.184258 0.205279
5.29146 0.182467 0.198825
5.34673 0.180709 0.192203
5.40201 0.178983 0.185489
5.45729 0.177288 0.178763
5.51256 0.175624 0.172106
5.56784 0.17399 0.1656
5.62312 0.172385 0.159327
5.67839 0.170809 0.153368
5.73367 0.16926 0.147801
5.78894 0.167738 0.142698
5.84422 0.166242 0.138128
5.8995 0.164772 0.134151
5.95477 0.163326 0.130821
6.01005 0.161906 0.12818
6.06533 0.160509 0.126261
6.1206 0.159135 0.125084
6.17588 0.157783 0.124656
6.23116 0.156454 0.124969
6.28643 0.155147 0.126002
6.34171 0.15386 0.127716
6.39698 0.152595 0.130057
6.45226 0.151349 0.132955
6.50754 0.150123 0.136324
6.56281 0.148916 0.140062
6.61809 0.147728 0.144051
6.67337 0.146558 0.14816
6.72864 0.145407 0.152247
6.78392 0.144273 0.15616
6.8392 0.143155 0.159739
6.89447 0.142055 0.162822
6.94975 0.140971 0.165246
7.00503 0.139904 0.166857
7.0603 0.138852 0.167509
7.11558 0.137815 0.167077
7.17085 0.136793 0.16546
7.22613 0.135786 0.162593
7.28141 0.134794 0.158456
7.33668 0.133815 0.153084
7.39196 0.132851 0.14658
7.44724 0.1319 0.139132
7.50251 0.130962 0.131024
7.55779 0.130037 0.122655
7.61307 0.129125 0.114558
7.66834 0.128226 0.107423
7.72362 0.127338 0.102116
7.77889 0.126463 0.0997045
7.83417 0.125599 0.101489
7.88945 0.124747 0.109026
7.94472 0.123907 0.124167
8 0.123077 0.149088
