i Re Im
211 1.74326 0
212 1.74984 3.88578e-16
213 1.75641 5.55112e-17
214 1.76295 3.33067e-16
215 1.76946 -4.44089e-16
216 1.77595 1.11022e-16
217 1.78242 -5.55112e-17
218 1.78886 0
219 1.79527 -3.33067e-16
220 1.80167 -1.11022e-16
221 1.80803 -1.66533e-16
222 1.81437 5.55112e-17
223 1.82069 -5.55112e-17
224 1.82698 8.32667e-16
225 1.83325 5.55112e-16
226 1.83949 6.66134e-16
227 1.8457 2.77556e-16
228 1.85189 6.66134e-16
229 1.85806 4.44089e-16
230 1.86419 8.32667e-16
231 1.87031 5.55112e-17
232 1.87639 3.33067e-16
233 1.88246 5.55112e-17
234 1.88849 4.996e-16
235 1.8945 -1.66533e-16
236 1.90048 4.44089e-16
237 1.90644 1.66533e-16
238 1.91237 3.88578e-16
239 1.91828 0
240 1.92415 9.4369e-16
241 1.93001 4.44089e-16
242 1.93583 4.996e-16
243 1.94163 2.77556e-16
244 1.9474 8.32667e-16
245 1.95315 3.88578e-16
246 1.95886 4.44089e-16
247 1.96456 5.55112e-17
248 1.97022 2.77556e-16
249 1.97586 -1.66533e-16
250 1.98147 1.66533e-16
251 1.98705 -1.66533e-16
252 1.99261 3.33067e-16
253 1.99814 0
254 2.00364 3.33067e-16
255 2.00911 1.66533e-16
256 2.01456 2.10942e-15
257 2.01998 1.60982e-15
258 2.02537 1.66533e-15
259 2.03074 1.72085e-15
260 2.03607 2.16493e-15
261 2.04138 2.10942e-15
262 2.04666 2.05391e-15
263 2.05192 1.44329e-15
264 2.05714 1.9984e-15
265 2.06234 1.55431e-15
266 2.06751 1.77636e-15
267 2.07265 1.66533e-15
268 2.07776 1.9984e-15
269 2.08285 1.60982e-15
270 2.0879 1.72085e-15
271 2.09293 1.72085e-15
272 2.09793 2.22045e-15
273 2.1029 2.10942e-15
274 2.10784 2.22045e-15
275 2.11276 1.83187e-15
276 2.11764 2.05391e-15
277 2.1225 1.94289e-15
278 2.12733 1.88738e-15
279 2.13213 1.44329e-15
280 2.1369 1.88738e-15
281 2.14164 9.99201e-16
282 2.14635 1.27676e-15
283 2.15104 9.4369e-16
284 2.15569 1.11022e-15
285 2.16032 7.77156e-16
286 2.16491 1.33227e-15
287 2.16948 9.99201e-16
288 2.17402 2.22045e-15
289 2.17853 1.66533e-15
290 2.18301 1.94289e-15
291 2.18746 1.55431e-15
292 2.19188 2.05391e-15
293 2.19627 2.16493e-15
294 2.20063 2.05391e-15
295 2.20496 1.44329e-15
296 2.20926 1.72085e-15
297 2.21354 1.44329e-15
298 2.21778 1.72085e-15
299 2.22199 1.33227e-15
300 2.22618 2.10942e-15
301 2.23033 1.77636e-15
302 2.23446 1.55431e-15
303 2.23855 1.27676e-15
304 2.24262 2.22045e-15
305 2.24665 1.38778e-15
306 2.25065 1.55431e-15
307 2.25463 1.55431e-15
308 2.25857 1.83187e-15
309 2.26249 1.60982e-15
310 2.26637 1.44329e-15
311 2.27023 9.4369e-16
312 2.27405 1.05471e-15
313 2.27784 4.44089e-16
314 2.28161 1.05471e-15
315 2.28534 5.55112e-16
316 2.28904 9.99201e-16
317 2.29271 8.88178e-16
318 2.29636 1.11022e-15
319 2.29997 1.11022e-15
320 2.30355 1.38778e-15
321 2.3071 1.16573e-15
322 2.31062 1.44329e-15
323 2.31411 1.27676e-15
324 2.31757 1.66533e-15
325 2.321 1.55431e-15
326 2.32439 1.72085e-15
327 2.32776 1.22125e-15
328 2.3311 1.44329e-15
329 2.3344 1.11022e-15
330 2.33768 1.33227e-15
331 2.34092 9.4369e-16
332 2.34413 1.38778e-15
333 2.34732 9.99201e-16
334 2.35047 1.11022e-15
335 2.35359 9.99201e-16
336 2.35668 1.72085e-15
337 2.35974 1.44329e-15
338 2.36276 1.83187e-15
339 2.36576 1.55431e-15
340 2.36873 2.05391e-15
341 2.37166 1.4988e-15
342 2.37457 1.55431e-15
343 2.37744 5.55112e-16
344 2.38028 9.99201e-16
345 2.38309 7.21645e-16
346 2.38587 8.32667e-16
347 2.38862 7.21645e-16
348 2.39134 8.88178e-16
349 2.39402 7.77156e-16
350 2.39668 8.32667e-16
351 2.3993 6.10623e-16
352 2.40189 1.38778e-15
353 2.40446 1.27676e-15
354 2.40699 1.38778e-15
355 2.40949 8.88178e-16
356 2.41195 1.16573e-15
357 2.41439 1.11022e-15
358 2.4168 1.05471e-15
359 2.41917 3.88578e-16
360 2.42151 6.10623e-16
361 2.42383 5.55112e-16
362 2.42611 9.4369e-16
363 2.42836 5.55112e-16
364 2.43057 1.27676e-15
365 2.43276 8.32667e-16
366 2.43491 1.05471e-15
367 2.43704 7.21645e-16
368 2.43913 1.66533e-15
369 2.44119 1.16573e-15
370 2.44322 1.38778e-15
371 2.44522 1.11022e-15
372 2.44719 1.66533e-15
373 2.44912 1.55431e-15
374 2.45103 1.55431e-15
375 2.4529 1.05471e-15
376 2.45474 1.16573e-15
377 2.45656 7.21645e-16
378 2.45833 9.4369e-16
379 2.46008 7.77156e-16
380 2.4618 1.33227e-15
381 2.46348 8.32667e-16
382 2.46514 1.11022e-15
383 2.46676 7.21645e-16
384 2.46835 8.32667e-16
385 2.46991 2.22045e-16
386 2.47144 6.10623e-16
387 2.47294 7.21645e-16
388 2.4744 1.05471e-15
389 2.47584 8.32667e-16
390 2.47724 1.05471e-15
391 2.47861 1.05471e-15
392 2.47996 1.11022e-15
