x1	x2	x3	xm	F[x1,x2]	F[x1,x2,x3]
-0.000158001	-0.000141095	-0.000125999	-0.000112518	-4.53584e-19	6.12452e-15
-0.000112518	-0.000141095	-0.000125999	-0.000100479	-2.05083e-19	3.89483e-15
-0.000112518	-0.000100479	-0.000125999	-8.97283e-05	-8.3075e-20	2.47688e-15
-0.000112518	-0.000100479	-8.97283e-05	-8.01278e-05	-8.3075e-20	1.57515e-15
-8.01278e-05	-0.000100479	-8.97283e-05	-7.15546e-05	-3.75614e-20	1.0017e-15
-8.01278e-05	-7.15546e-05	-8.97283e-05	-6.38987e-05	-1.52154e-20	6.37023e-16
-8.01278e-05	-7.15546e-05	-6.38987e-05	-5.70619e-05	-1.52154e-20	4.05109e-16
-5.70619e-05	-7.15546e-05	-6.38987e-05	-5.09566e-05	-6.87946e-21	2.57625e-16
-5.70619e-05	-5.09566e-05	-6.38987e-05	-4.55045e-05	-2.78673e-21	1.63834e-16
-5.70619e-05	-5.09566e-05	-4.55045e-05	-4.06358e-05	-2.78673e-21	1.04189e-16
-4.06358e-05	-5.09566e-05	-4.55045e-05	-3.6288e-05	-1.25999e-21	6.6258e-17
-4.06358e-05	-3.6288e-05	-4.55045e-05	-3.24054e-05	-5.10396e-22	4.21361e-17
-4.06358e-05	-3.6288e-05	-3.24054e-05	-2.89382e-05	-5.10396e-22	2.67961e-17
-2.89382e-05	-3.6288e-05	-3.24054e-05	-2.58419e-05	-2.3077e-22	1.70407e-17
-2.89382e-05	-2.58419e-05	-3.24054e-05	-2.3077e-05	-9.34802e-23	1.08369e-17
-2.89382e-05	-2.58419e-05	-2.3077e-05	-2.06079e-05	-9.34802e-23	6.89162e-18
-2.06079e-05	-2.58419e-05	-2.3077e-05	-1.8403e-05	-4.2266e-23	4.38266e-18
-2.06079e-05	-1.8403e-05	-2.3077e-05	-1.64339e-05	-1.71211e-23	2.78711e-18
-2.06079e-05	-1.8403e-05	-1.64339e-05	-1.46756e-05	-1.71211e-23	1.77244e-18
-1.46756e-05	-1.8403e-05	-1.64339e-05	-1.31054e-05	-7.74112e-24	1.12717e-18
-1.46756e-05	-1.31054e-05	-1.64339e-05	-1.17032e-05	-3.13577e-24	7.16811e-19
-1.46756e-05	-1.31054e-05	-1.17032e-05	-1.0451e-05	-3.13577e-24	4.55849e-19
-1.0451e-05	-1.31054e-05	-1.17032e-05	-9.33281e-06	-1.4178e-24	2.89893e-19
-1.0451e-05	-9.33281e-06	-1.17032e-05	-8.33425e-06	-5.74324e-25	1.84355e-19
-1.0451e-05	-9.33281e-06	-8.33425e-06	-7.44253e-06	-5.74324e-25	1.17239e-19
-7.44253e-06	-9.33281e-06	-8.33425e-06	-6.64622e-06	-2.59674e-25	7.45569e-20
