x y
-5 0.0384615
-4.9 0.0391961
-4.8 0.0385819
-4.7 0.0368303
-4.6 0.0341522
-4.5 0.0307591
-4.4 0.0268619
-4.3 0.0226719
-4.2 0.0184004
-4.1 0.0142584
-4 0.0104571
-3.9 0.00720776
-3.8 0.00472153
-3.7 0.00320959
-3.6 0.00288312
-3.5 0.00395331
-3.4 0.00663133
-3.3 0.0111284
-3.2 0.0176556
-3.1 0.0264242
-3 0.0376454
-2.9 0.0515303
-2.8 0.0682902
-2.7 0.0881361
-2.6 0.111279
-2.5 0.137931
-2.4 0.168202
-2.3 0.201805
-2.2 0.238349
-2.1 0.277447
-2 0.31871
-1.9 0.36175
-1.8 0.406176
-1.7 0.451602
-1.6 0.497637
-1.5 0.543894
-1.4 0.589984
-1.3 0.635517
-1.2 0.680106
-1.1 0.723362
-1 0.764895
-0.9 0.804317
-0.8 0.841241
-0.7 0.875275
-0.6 0.906033
-0.5 0.933126
-0.4 0.956164
-0.3 0.974759
-0.2 0.988523
-0.1 0.997066
-1.02696e-15 1
0.1 0.997066
0.2 0.988523
0.3 0.974759
0.4 0.956164
0.5 0.933126
0.6 0.906033
0.7 0.875275
0.8 0.841241
0.9 0.804317
1 0.764895
1.1 0.723362
1.2 0.680106
1.3 0.635517
1.4 0.589984
1.5 0.543894
1.6 0.497637
1.7 0.451602
1.8 0.406176
1.9 0.36175
2 0.31871
2.1 0.277447
2.2 0.238349
2.3 0.201805
2.4 0.168202
2.5 0.137931
2.6 0.111279
2.7 0.0881361
2.8 0.0682902
2.9 0.0515303
3 0.0376454
3.1 0.0264242
3.2 0.0176556
3.3 0.0111284
3.4 0.00663133
3.5 0.00395331
3.6 0.00288312
3.7 0.00320959
3.8 0.00472153
3.9 0.00720776
4 0.0104571
4.1 0.0142584
4.2 0.0184004
4.3 0.0226719
4.4 0.0268619
4.5 0.0307591
4.6 0.0341522
4.7 0.0368303
4.8 0.0385819
4.9 0.0391961
5 0.0384615
