x y
-5 0.0384615
-4.9 0.0399835
-4.8 0.0415963
-4.7 0.0433078
-4.6 0.045126
-4.5 0.0470589
-4.4 0.0491149
-4.3 0.0513058
-4.2 0.053645
-4.1 0.0561463
-4 0.0588233
-3.9 0.0616897
-3.8 0.0647641
-3.7 0.0680701
-3.6 0.0716316
-3.5 0.0754725
-3.4 0.0796167
-3.3 0.0840949
-3.2 0.0889522
-3.1 0.0942357
-3 0.0999926
-2.9 0.10627
-2.8 0.11312
-2.7 0.120624
-2.6 0.12887
-2.5 0.137945
-2.4 0.147939
-2.3 0.158945
-2.2 0.17113
-2.1 0.184705
-2 0.199881
-1.9 0.21687
-1.8 0.235883
-1.7 0.257183
-1.6 0.28109
-1.5 0.307928
-1.4 0.338021
-1.3 0.371694
-1.2 0.40932
-1.1 0.451398
-1 0.498444
-0.9 0.550976
-0.8 0.609509
-0.7 0.674008
-0.6 0.741388
-0.5 0.807524
-0.4 0.868289
-0.3 0.919559
-0.2 0.95738
-0.1 0.980093
-1.02696e-15 0.987664
0.1 0.980093
0.2 0.95738
0.3 0.919559
0.4 0.868289
0.5 0.807524
0.6 0.741388
0.7 0.674008
0.8 0.609509
0.9 0.550976
1 0.498444
1.1 0.451398
1.2 0.40932
1.3 0.371694
1.4 0.338021
1.5 0.307928
1.6 0.28109
1.7 0.257183
1.8 0.235883
1.9 0.21687
2 0.199881
2.1 0.184705
2.2 0.17113
2.3 0.158945
2.4 0.147939
2.5 0.137945
2.6 0.12887
2.7 0.120624
2.8 0.11312
2.9 0.10627
3 0.0999926
3.1 0.0942357
3.2 0.0889522
3.3 0.0840949
3.4 0.0796167
3.5 0.0754725
3.6 0.0716316
3.7 0.0680701
3.8 0.0647641
3.9 0.0616897
4 0.0588233
4.1 0.0561463
4.2 0.053645
4.3 0.0513058
4.4 0.0491149
4.5 0.0470589
4.6 0.045126
4.7 0.0433078
4.8 0.0415963
4.9 0.0399835
5 0.0384615
