x y
-5 0.0384615
-4.9 0.0396242
-4.8 0.0402369
-4.7 0.040425
-4.6 0.0403137
-4.5 0.0400283
-4.4 0.0396938
-4.3 0.0394357
-4.2 0.0393791
-4.1 0.0396491
-4 0.0403712
-3.9 0.0416704
-3.8 0.0436721
-3.7 0.0465014
-3.6 0.0502836
-3.5 0.0551439
-3.4 0.0612075
-3.3 0.0685997
-3.2 0.0774457
-3.1 0.0878707
-3 0.1
-2.9 0.11391
-2.8 0.129479
-2.7 0.146538
-2.6 0.164917
-2.5 0.184447
-2.4 0.204958
-2.3 0.226279
-2.2 0.248241
-2.1 0.270675
-2 0.29341
-1.9 0.316278
-1.8 0.339107
-1.7 0.361728
-1.6 0.383972
-1.5 0.405668
-1.4 0.426648
-1.3 0.446741
-1.2 0.465777
-1.1 0.483586
-1 0.5
-0.9 0.514876
-0.8 0.528186
-0.7 0.53993
-0.6 0.550109
-0.5 0.558721
-0.4 0.565768
-0.3 0.571248
-0.2 0.575163
-0.1 0.577512
-1.02696e-15 0.578295
0.1 0.577512
0.2 0.575163
0.3 0.571248
0.4 0.565768
0.5 0.558721
0.6 0.550109
0.7 0.53993
0.8 0.528186
0.9 0.514876
1 0.5
1.1 0.483586
1.2 0.465777
1.3 0.446741
1.4 0.426648
1.5 0.405668
1.6 0.383972
1.7 0.361728
1.8 0.339107
1.9 0.316278
2 0.29341
2.1 0.270675
2.2 0.248241
2.3 0.226279
2.4 0.204958
2.5 0.184447
2.6 0.164917
2.7 0.146538
2.8 0.129479
2.9 0.11391
3 0.1
3.1 0.0878707
3.2 0.0774457
3.3 0.0685997
3.4 0.0612075
3.5 0.0551439
3.6 0.0502836
3.7 0.0465014
3.8 0.0436721
3.9 0.0416704
4 0.0403712
4.1 0.0396491
4.2 0.0393791
4.3 0.0394357
4.4 0.0396938
4.5 0.0400283
4.6 0.0403137
4.7 0.040425
4.8 0.0402369
4.9 0.0396242
5 0.0384615
