x y
-5 0.0384615
-4.9 0.0402566
-4.8 0.0426206
-4.7 0.0454592
-4.6 0.0486784
-4.5 0.0521841
-4.4 0.0558822
-4.3 0.0596784
-4.2 0.0634788
-4.1 0.0671891
-4 0.0707154
-3.9 0.0739633
-3.8 0.0768389
-3.7 0.0792479
-3.6 0.0810963
-3.5 0.08229
-3.4 0.0827348
-3.3 0.0823397
-3.2 0.0812008
-3.1 0.0797039
-3 0.0782598
-2.9 0.0772795
-2.8 0.0771736
-2.7 0.0783532
-2.6 0.0812289
-2.5 0.0862117
-2.4 0.0937123
-2.3 0.104142
-2.2 0.11791
-2.1 0.13543
-2 0.15711
-1.9 0.183362
-1.8 0.214598
-1.7 0.251227
-1.6 0.29359
-1.5 0.341212
-1.4 0.39309
-1.3 0.448212
-1.2 0.505569
-1.1 0.564148
-1 0.622938
-0.9 0.680929
-0.8 0.737108
-0.7 0.790465
-0.6 0.839989
-0.5 0.884668
-0.4 0.923491
-0.3 0.955447
-0.2 0.979524
-0.1 0.994713
-1.02696e-15 1
0.1 0.994713
0.2 0.979524
0.3 0.955447
0.4 0.923491
0.5 0.884668
0.6 0.839989
0.7 0.790465
0.8 0.737108
0.9 0.680929
1 0.622938
1.1 0.564148
1.2 0.505569
1.3 0.448212
1.4 0.39309
1.5 0.341212
1.6 0.29359
1.7 0.251227
1.8 0.214598
1.9 0.183362
2 0.15711
2.1 0.13543
2.2 0.11791
2.3 0.104142
2.4 0.0937123
2.5 0.0862117
2.6 0.0812289
2.7 0.0783532
2.8 0.0771736
2.9 0.0772795
3 0.0782598
3.1 0.0797039
3.2 0.0812008
3.3 0.0823397
3.4 0.0827348
3.5 0.08229
3.6 0.0810963
3.7 0.0792479
3.8 0.0768389
3.9 0.0739633
4 0.0707154
4.1 0.0671891
4.2 0.0634788
4.3 0.0596784
4.4 0.0558822
4.5 0.0521841
4.6 0.0486784
4.7 0.0454592
4.8 0.0426206
4.9 0.0402566
5 0.0384615
