i Re Im
245 -5.74579 2.79806
246 -5.98042 2.59478
247 -5.9165 -9.21256
248 -1.16972 10.4434
249 -6.53663 6.45834
250 2.85136 -3.64526
251 -7.12737 7.61755
252 -5.71311 3.04334
253 3.88434 127.303
254 0.0928146 126.243
255 -1.38729 128.746

