i Re Im
0 0.0202333 -5.55112e-17
1 0.166396 -1.96891e-16
2 0.311871 -1.52656e-16
3 0.456135 -3.53884e-16
4 0.598669 -1.38778e-17
5 0.738964 -2.35922e-16
6 0.876518 -1.249e-16
7 1.01085 -5.82867e-16
8 1.14147 -4.16334e-16
9 1.26795 -6.38378e-16
10 1.38984 -5.55112e-16
11 1.50672 -9.15934e-16
12 1.6182 -4.996e-16
13 1.72393 -8.88178e-16
14 1.82355 -6.10623e-16
15 1.91676 -1.11022e-15
16 2.00328 -2.22045e-16
17 2.08284 -4.996e-16
18 2.15523 -2.22045e-16
19 2.22027 -4.996e-16
20 2.27778 -1.11022e-16
21 2.32767 -3.33067e-16
22 2.36983 -5.55112e-17
23 2.40421 -7.77156e-16
24 2.4308 -4.996e-16
25 2.4496 -9.99201e-16
26 2.46067 -6.66134e-16
27 2.4641 -1.16573e-15
28 2.45999 -4.44089e-16
29 2.4485 -7.49401e-16
30 2.42979 -5.13478e-16
31 2.40409 -7.35523e-16
32 2.37164 -4.84185e-17
33 2.33268 -2.08167e-16
34 2.28753 1.52656e-16
35 2.23648 8.32667e-17
36 2.17989 5.27356e-16
37 2.1181 3.33067e-16
38 2.05151 3.88578e-16
39 1.9805 1.66533e-16
40 1.90548 3.33067e-16
41 1.82688 -5.55112e-17
42 1.74512 4.44089e-16
43 1.66065 1.66533e-16
44 1.57392 2.77556e-16
45 1.48538 2.77556e-16
46 1.39547 2.22045e-16
47 1.30465 -2.77556e-17
48 1.21337 1.11022e-16
49 1.12207 8.32667e-17
50 1.03117 1.11022e-16
51 0.94112 2.22045e-16
52 0.852317 2.08167e-16
53 0.765163 1.38778e-16
54 0.680043 1.80411e-16
55 0.597322 1.31839e-16
56 0.517347 1.97758e-16
57 0.440444 1.2837e-16
58 0.366917 3.13985e-16
59 0.297046 2.12504e-16
60 0.231086 2.80592e-16
61 0.169268 2.26598e-16
62 0.111793 2.01445e-16
63 0.0588377 2.12883e-16
64 0.0105492 -2.32666e-17
65 -0.0329539 8.34836e-18
66 -0.0715817 -2.1684e-19
67 -0.105273 2.29851e-17
68 -0.133996 -4.68375e-17
69 -0.157748 -1.35308e-16
70 -0.176554 1.14492e-16
71 -0.190467 2.42861e-17
72 -0.199567 9.71445e-17
73 -0.203962 9.02056e-17
74 -0.203785 6.93889e-17
75 -0.199192 9.71445e-17
76 -0.190365 1.38778e-16
77 -0.177506 9.71445e-17
78 -0.160838 1.66533e-16
79 -0.140605 3.88578e-16
80 -0.117066 2.498e-16
81 -0.0904975 3.33067e-16
82 -0.0611894 2.22045e-16
83 -0.0294439 1.66533e-16
84 0.00442631 3.88578e-16
85 0.0401003 2.77556e-16
86 0.0772506 5.55112e-16
87 0.115546 3.33067e-16
88 0.154651 3.33067e-16
89 0.194232 4.44089e-16
90 0.233955 2.22045e-16
91 0.273492 5.55112e-17
92 0.312518 1.11022e-16
93 0.350716 -2.77556e-17
94 0.38778 -4.16334e-17
95 0.423412 6.93889e-17
96 0.45733 1.59441e-16
97 0.489263 9.71445e-17
98 0.518958 1.80411e-16
99 0.54618 2.498e-16
100 0.570709 3.60822e-16
101 0.592348 3.33067e-16
102 0.610919 6.10623e-16
103 0.626268 2.22045e-16
104 0.638261 2.77556e-16
105 0.646789 2.77556e-16
106 0.651764 3.33067e-16
107 0.653126 6.10623e-16
108 0.650837 6.10623e-16
109 0.644884 7.77156e-16
110 0.635278 7.21645e-16
111 0.622054 6.10623e-16
112 0.605272 4.44089e-16
113 0.585015 3.33067e-16
114 0.561388 4.44089e-16
115 0.534518 5.55112e-16
116 0.504554 5.55112e-16
117 0.471665 5.55112e-16
118 0.436038 4.996e-16
119 0.397879 5.82867e-16
120 0.357408 5.27356e-16
121 0.314863 4.71845e-16
122 0.270493 5.13478e-16
123 0.224561 5.96745e-16
124 0.177337 4.30211e-16
125 0.129102 5.27356e-16
126 0.0801418 4.05925e-16
127 0.0307489 5.17164e-16
128 -0.0187831 1.66533e-16
129 -0.0681589 1.19696e-16
130 -0.117084 1.76942e-16
131 -0.165267 3.60822e-16
132 -0.212422 1.38778e-16
133 -0.258266 2.498e-16
134 -0.302529 6.93889e-17
135 -0.344948 3.88578e-16
136 -0.385273 1.94289e-16
137 -0.423265 1.38778e-16
138 -0.458703 2.77556e-16
139 -0.49138 4.16334e-16
140 -0.521108 1.66533e-16
141 -0.547718 3.33067e-16
142 -0.57106 1.66533e-16
143 -0.591005 4.44089e-16
144 -0.607446 1.11022e-16
145 -0.620301 -5.55112e-17
146 -0.629509 0
147 -0.635034 1.66533e-16
148 -0.636863 -1.11022e-16
149 -0.63501 -1.11022e-16
150 -0.62951 -2.77556e-16
151 -0.620426 1.11022e-16
152 -0.607842 -5.55112e-17
153 -0.59187 1.11022e-16
154 -0.572641 2.22045e-16
155 -0.550311 3.88578e-16
156 -0.525059 2.22045e-16
157 -0.497083 1.38778e-16
158 -0.4666 1.52656e-16
159 -0.43385 1.52656e-16
160 -0.399086 -4.84185e-17
161 -0.362579 -2.08167e-16
162 -0.324616 -2.91434e-16
163 -0.285494 -3.60822e-16
164 -0.245523 -3.60822e-16
165 -0.205022 -3.33067e-16
166 -0.164318 -2.77556e-16
167 -0.123744 -3.88578e-16
168 -0.0836362 -4.44089e-16
169 -0.0443323 -2.77556e-16
170 -0.00617054 -4.44089e-16
171 0.030513 -4.996e-16
172 0.0653868 -3.88578e-16
173 0.0981253 -4.996e-16
174 0.128411 -3.33067e-16
175 0.155937 -8.32667e-17
176 0.180409 -2.22045e-16
177 0.201544 -3.05311e-16
178 0.219078 -3.33067e-16
179 0.232762 -3.33067e-16
180 0.242367 -2.08167e-16
181 0.247686 -1.38778e-16
182 0.248531 -1.38778e-17
183 0.244741 -7.63278e-17
184 0.236175 -8.67362e-17
185 0.222722 3.81639e-17
186 0.204296 4.68375e-17
187 0.180838 1.76074e-16
188 0.152317 1.0842e-17
189 0.118731 1.6198e-16
190 0.0801075 1.14275e-16
191 0.0365023 1.88705e-16
192 -0.0119994 -8.77557e-17
193 -0.065283 6.88468e-17
194 -0.123205 -2.40693e-17
195 -0.185595 -2.9924e-17
196 -0.252251 -7.80626e-17
197 -0.322949 1.21431e-16
198 -0.397435 -5.89806e-17
199 -0.475431 1.70003e-16
200 -0.556635 1.249e-16
201 -0.640723 4.09395e-16
202 -0.727348 2.08167e-16
203 -0.816145 4.02456e-16
204 -0.906731 1.94289e-16
205 -0.998706 4.57967e-16
206 -1.09166 2.77556e-16
207 -1.18515 2.77556e-16
208 -1.27876 -1.38778e-16
209 -1.37204 2.22045e-16
210 -1.46453 0
211 -1.55579 1.66533e-16
212 -1.64535 -1.66533e-16
213 -1.73276 1.66533e-16
214 -1.81757 -2.22045e-16
215 -1.89933 3.33067e-16
216 -1.9776 2.22045e-16
217 -2.05196 4.44089e-16
218 -2.12199 2.22045e-16
219 -2.18728 7.21645e-16
220 -2.24745 1.11022e-16
221 -2.30213 6.38378e-16
222 -2.35097 4.02456e-16
223 -2.39366 5.13478e-16
224 -2.42988 -6.26038e-17
225 -2.45937 3.19189e-16
226 -2.48187 -4.16334e-17
227 -2.49717 2.77556e-17
228 -2.50507 -5.27356e-16
229 -2.50543 -3.33067e-16
230 -2.49811 -7.21645e-16
231 -2.48302 0
232 -2.4601 -1.66533e-16
233 -2.42933 5.55112e-17
234 -2.39071 -3.33067e-16
235 -2.34429 -2.77556e-16
236 -2.29015 -4.996e-16
237 -2.22839 -5.55112e-16
238 -2.15916 -6.10623e-16
239 -2.08264 -4.996e-16
240 -1.99905 -3.33067e-16
241 -1.90862 -1.11022e-16
242 -1.81164 -2.22045e-16
243 -1.7084 -4.44089e-16
244 -1.59924 -5.55112e-16
245 -1.48451 -5.55112e-16
246 -1.36461 -6.66134e-16
247 -1.23994 -6.38378e-16
248 -1.11093 -6.38378e-16
249 -0.97803 -6.38378e-16
250 -0.841707 -8.74301e-16
251 -0.702444 -9.85323e-16
252 -0.56074 -7.21645e-16
253 -0.4171 -9.15934e-16
254 -0.272042 -7.21645e-16
255 -0.126089 -9.18753e-16

