x y
-5 0.962259
-4.9 0.777135
-4.8 0.598953
-4.7 0.428184
-4.6 0.265292
-4.5 0.110734
-4.4 -0.0350501
-4.3 -0.171637
-4.2 -0.298625
-4.1 -0.41564
-4 -0.522339
-3.9 -0.618414
-3.8 -0.7036
-3.7 -0.777674
-3.6 -0.840466
-3.5 -0.891859
-3.4 -0.931794
-3.3 -0.960274
-3.2 -0.977369
-3.1 -0.983216
-3 -0.978022
-2.9 -0.962068
-2.8 -0.935706
-2.7 -0.899362
-2.6 -0.853536
-2.5 -0.798794
-2.4 -0.735776
-2.3 -0.665183
-2.2 -0.587777
-2.1 -0.504377
-2 -0.41585
-1.9 -0.323107
-1.8 -0.227093
-1.7 -0.128781
-1.6 -0.0291642
-1.5 0.0707561
-1.4 0.169977
-1.3 0.267504
-1.2 0.36236
-1.1 0.453597
-1 0.540303
-0.9 0.62161
-0.8 0.696707
-0.7 0.764842
-0.6 0.825336
-0.5 0.877583
-0.4 0.921061
-0.3 0.955336
-0.2 0.980067
-0.1 0.995004
-1.02696e-15 1
0.1 0.995004
0.2 0.980067
0.3 0.955336
0.4 0.921061
0.5 0.877583
0.6 0.825336
0.7 0.764842
0.8 0.696707
0.9 0.62161
1 0.540303
1.1 0.453597
1.2 0.36236
1.3 0.267504
1.4 0.169977
1.5 0.0707561
1.6 -0.0291642
1.7 -0.128781
1.8 -0.227093
1.9 -0.323107
2 -0.41585
2.1 -0.504377
2.2 -0.587777
2.3 -0.665183
2.4 -0.735776
2.5 -0.798794
2.6 -0.853536
2.7 -0.899362
2.8 -0.935706
2.9 -0.962068
3 -0.978022
3.1 -0.983216
3.2 -0.977369
3.3 -0.960274
3.4 -0.931794
3.5 -0.891859
3.6 -0.840466
3.7 -0.777674
3.8 -0.7036
3.9 -0.618414
4 -0.522339
4.1 -0.41564
4.2 -0.298625
4.3 -0.171637
4.4 -0.0350501
4.5 0.110734
4.6 0.265292
4.7 0.428184
4.8 0.598953
4.9 0.777135
5 0.962259
