x y
-5 -11.5
-4.9 -11.005
-4.8 -10.52
-4.7 -10.045
-4.6 -9.58
-4.5 -9.125
-4.4 -8.68
-4.3 -8.245
-4.2 -7.82
-4.1 -7.405
-4 -7
-3.9 -6.605
-3.8 -6.22
-3.7 -5.845
-3.6 -5.48
-3.5 -5.125
-3.4 -4.78
-3.3 -4.445
-3.2 -4.12
-3.1 -3.805
-3 -3.5
-2.9 -3.205
-2.8 -2.92
-2.7 -2.645
-2.6 -2.38
-2.5 -2.125
-2.4 -1.88
-2.3 -1.645
-2.2 -1.42
-2.1 -1.205
-2 -1
-1.9 -0.805
-1.8 -0.62
-1.7 -0.445
-1.6 -0.28
-1.5 -0.125
-1.4 0.02
-1.3 0.155
-1.2 0.28
-1.1 0.395
-1 0.5
-0.9 0.595
-0.8 0.68
-0.7 0.755
-0.6 0.82
-0.5 0.875
-0.4 0.92
-0.3 0.955
-0.2 0.98
-0.1 0.995
-1.02696e-15 1
0.1 0.995
0.2 0.98
0.3 0.955
0.4 0.92
0.5 0.875
0.6 0.82
0.7 0.755
0.8 0.68
0.9 0.595
1 0.5
1.1 0.395
1.2 0.28
1.3 0.155
1.4 0.02
1.5 -0.125
1.6 -0.28
1.7 -0.445
1.8 -0.62
1.9 -0.805
2 -1
2.1 -1.205
2.2 -1.42
2.3 -1.645
2.4 -1.88
2.5 -2.125
2.6 -2.38
2.7 -2.645
2.8 -2.92
2.9 -3.205
3 -3.5
3.1 -3.805
3.2 -4.12
3.3 -4.445
3.4 -4.78
3.5 -5.125
3.6 -5.48
3.7 -5.845
3.8 -6.22
3.9 -6.605
4 -7
4.1 -7.405
4.2 -7.82
4.3 -8.245
4.4 -8.68
4.5 -9.125
4.6 -9.58
4.7 -10.045
4.8 -10.52
4.9 -11.005
5 -11.5
