iteracja	x	epsilon
265	2.199048	0.000049
266	2.220956	0.000353
267	2.195539	0.022887
268	2.197893	0.003509
269	2.198154	0.023064
270	2.198647	0.002615
271	2.198038	0.000755
272	2.197155	0.000116
273	2.199379	0.001492
274	2.197515	0.001341
275	2.198028	0.000360
276	2.198069	0.001351
277	2.197648	0.000555
278	2.198104	0.000381
279	2.197811	0.000035
280	2.197858	0.000164
281	2.197942	0.000246
282	2.197346	0.000130
283	2.197768	0.000513
284	2.195635	0.000174
285	2.198473	0.001710
286	2.198275	0.000706
287	2.197922	0.002640
288	2.197513	0.000551
289	2.198143	0.000762
290	2.196097	0.000221
291	2.197857	0.001416
292	2.197725	0.000286
293	2.198494	0.001629
294	2.196415	0.000637
295	2.198064	0.001311
296	2.197937	0.000430
297	2.197500	0.001522
298	2.198003	0.000564
299	2.196658	0.000066
300	2.197531	0.000842
301	2.196834	0.000472
302	2.198165	0.000176
303	2.198174	0.000634
304	2.197792	0.001341
305	2.198787	0.000373
306	2.197983	0.000612
307	2.198144	0.000191
308	2.198633	0.000642
309	2.198125	0.000650
310	2.197012	0.000020
311	2.196615	0.001621
312	2.197749	0.001510
313	2.198093	0.000738
314	2.198294	0.001478
315	2.197894	0.000544
316	2.198847	0.000199
317	2.198121	0.000554
318	2.198280	0.000227
319	2.197045	0.000568
320	2.199214	0.001076
321	2.197894	0.000934
322	2.198017	0.000848
323	2.198328	0.001197
324	2.197916	0.000434
325	2.198394	0.000100
326	2.198164	0.000067
327	2.198195	0.000247
328	2.195874	0.000200
329	2.198963	0.002290
330	2.197791	0.000768
331	2.197979	0.001917
332	2.198159	0.000984
333	2.197753	0.000369
334	2.198133	0.000225
335	2.197953	0.000026
336	2.197933	0.000199
337	2.198080	0.000200
338	2.197882	0.000127
339	2.198014	0.000051
340	2.197970	0.000065
341	2.197902	0.000088
342	2.197987	0.000112
343	2.197868	0.000017
344	2.197890	0.000034
345	2.197854	0.000097
346	2.197671	0.000015
347	2.197636	0.000218
348	2.193147	0.000217
349	2.198550	0.004524
350	2.198156	0.000914
351	2.197928	0.005009
352	2.196958	0.000622
353	2.198072	0.001198
354	2.200853	0.000144
355	2.197613	0.003895
356	2.197041	0.000459
357	2.198118	0.003813
358	2.198223	0.000505
359	2.197741	0.001182
360	2.198710	0.000377
361	2.197985	0.000487
362	2.198103	0.000245
363	2.198600	0.000607
364	2.198089	0.000614
365	2.194766	0.000014
366	2.185181	0.003834
367	2.197535	0.012908
368	2.197916	0.002769
369	2.198101	0.012735
370	2.196001	0.000567
371	2.198017	0.001915
372	2.197623	0.000084
373	2.196877	0.001621
374	2.197687	0.001140
375	2.198213	0.000065
376	2.198254	0.001336
377	2.197959	0.000567
378	2.190321	0.000254
379	2.198182	0.007933
380	2.199628	0.000223
381	2.197745	0.009308
382	2.197621	0.000437
383	2.198158	0.002008
384	2.198768	0.000414
385	2.197901	0.001147
386	2.197327	0.000258
387	2.198278	0.001441
388	2.201095	0.000377
389	2.197917	0.003768
390	2.197783	0.000360
391	2.198529	0.003312
392	2.197555	0.000611
393	2.198101	0.000228
394	2.198018	0.000428
395	2.197820	0.000463
396	2.198127	0.000281
397	2.197851	0.000109
398	2.197966	0.000032
399	2.197987	0.000161
