iteracja	x	epsilon
0	1.561533	0.400000
1	2.278147	0.738467
2	0.821382	0.121853
3	2.476294	0.740151
4	2.279664	0.198147
5	2.517847	1.458282
6	2.270534	0.041553
7	2.272312	0.009130
8	2.264774	0.245535
9	2.239513	0.005760
10	2.237629	0.032800
11	2.226099	0.027145
12	2.219943	0.013414
13	2.215567	0.017687
14	2.210979	0.010532
15	2.208179	0.008964
16	2.205716	0.007389
17	2.203853	0.005263
18	2.202476	0.004325
19	2.201377	0.003239
20	2.200562	0.002476
21	2.199936	0.001914
22	2.199459	0.001441
23	2.199097	0.001104
24	2.198820	0.000839
25	2.198608	0.000638
26	2.198443	0.000489
27	2.198313	0.000377
28	2.198207	0.000295
29	2.198115	0.000236
30	2.198025	0.000198
31	2.197913	0.000182
32	2.197649	0.000203
33	2.198870	0.000376
34	2.198049	0.000957
35	2.197312	0.000400
36	2.197990	0.001558
37	2.198135	0.000059
38	2.198065	0.000823
39	2.197571	0.000075
40	2.197783	0.000564
41	2.198220	0.000282
42	2.197937	0.000649
43	2.165685	0.000154
44	2.197579	0.032534
45	2.197939	0.000358
46	2.197587	0.032253
47	2.198055	0.000008
48	2.198057	0.000116
49	2.198209	0.000470
50	2.197563	0.000154
51	2.197849	0.000494
52	2.198632	0.000360
53	2.197977	0.001069
54	2.197694	0.000127
55	2.197891	0.000937
56	2.198137	0.000086
57	2.198045	0.000443
58	2.195589	0.000155
59	2.197749	0.002548
60	2.198068	0.000297
61	2.197792	0.002479
62	2.198379	0.000044
63	2.198477	0.000311
64	2.197239	0.000685
65	2.198151	0.001140
66	2.199470	0.000326
67	2.198274	0.002231
68	2.198105	0.000123
69	2.198201	0.001365
70	2.197938	0.000072
71	2.197899	0.000166
72	2.197539	0.000302
73	2.198283	0.000399
74	2.198010	0.000384
75	2.199026	0.000471
76	2.197832	0.000743
77	2.197960	0.000178
78	2.197739	0.001066
79	2.198218	0.000093
80	2.198139	0.000258
81	2.200571	0.000400
82	2.197939	0.002353
83	2.198113	0.000200
84	2.197917	0.002459
85	2.196859	0.000022
86	2.195932	0.001254
87	2.197966	0.001985
88	2.197284	0.001107
89	2.197991	0.001352
90	2.198037	0.000026
91	2.198063	0.000753
92	2.196124	0.000072
93	2.197503	0.001913
94	2.198095	0.000560
95	2.197630	0.001971
96	2.198247	0.000127
97	2.198317	0.000152
98	2.199172	0.000687
99	2.198047	0.000925
100	2.198215	0.000270
101	2.198002	0.000957
102	2.197840	0.000044
103	2.197763	0.000376
104	2.198333	0.000239
105	2.198036	0.000493
106	2.196636	0.000273
107	2.197891	0.001697
108	2.198076	0.000145
109	2.197935	0.001440
110	2.199842	0.000044
111	2.192768	0.001766
112	2.197903	0.005167
113	2.200899	0.001938
114	2.197915	0.008131
115	2.197882	0.000012
116	2.197894	0.003017
117	2.198207	0.000021
118	2.198177	0.000326
119	2.197271	0.000283
120	2.197960	0.000936
121	2.198329	0.000217
122	2.198030	0.001058
123	2.197774	0.000070
124	2.197883	0.000555
125	2.198301	0.000148
126	2.198075	0.000527
127	2.197524	0.000192
128	2.197921	0.000777
129	2.198219	0.000153
130	2.198027	0.000695
131	2.197508	0.000105
132	2.197812	0.000712
133	2.198141	0.000215
134	2.197941	0.000633
135	2.199681	0.000129
136	2.197262	0.001540
137	2.197907	0.000679
138	2.196639	0.001774
139	2.197980	0.000623
140	2.197949	0.000073
141	2.198019	0.001310
142	2.198727	0.000038
143	2.199655	0.000778
144	2.197949	0.001637
145	2.198485	0.000778
146	2.197915	0.001171
147	2.197823	0.000034
148	2.197766	0.000662
149	2.198141	0.000148
150	2.198026	0.000319
151	2.198923	0.000260
152	2.197711	0.000782
153	2.197971	0.000315
154	2.197498	0.000952
155	2.198138	0.000213
156	2.198071	0.000167
157	2.198333	0.000573
158	2.197797	0.000196
159	2.197930	0.000274
160	2.197085	0.000404
161	2.198139	0.000712
162	2.197988	0.000209
163	2.198231	0.000903
164	2.197576	0.000092
165	2.197750	0.000412
166	2.198783	0.000481
167	2.197920	0.001207
168	2.197536	0.000170
169	2.197838	0.001247
170	2.198028	0.000083
171	2.197963	0.000492
172	2.198424	0.000126
173	2.204367	0.000395
174	2.197826	0.006404
175	2.198391	0.000598
176	2.197813	0.005976
177	2.197445	0.000013
178	2.197385	0.000946
179	2.197930	0.000428
180	2.197753	0.000486
181	2.198014	0.000369
182	2.198111	0.000083
183	2.198239	0.000357
184	2.197594	0.000225
185	2.197927	0.000517
186	2.198892	0.000312
187	2.198047	0.001299
188	2.197857	0.000120
189	2.197989	0.001036
190	2.198610	0.000058
