x y
-5 -0.839072
-4.9 -0.926946
-4.8 -0.974317
-4.7 -0.983199
-4.6 -0.955607
-4.5 -0.893554
-4.4 -0.799055
-4.3 -0.674123
-4.2 -0.520804
-4.1 -0.343446
-4 -0.150218
-3.9 0.0503519
-3.8 0.249734
-3.7 0.439399
-3.6 0.610819
-3.5 0.755463
-3.4 0.865177
-3.3 0.937076
-3.2 0.972171
-3.1 0.971566
-3 0.936361
-2.9 0.86766
-2.8 0.766564
-2.7 0.634178
-2.6 0.472597
-2.5 0.288941
-2.4 0.0919059
-2.3 -0.109812
-2.2 -0.307516
-2.1 -0.492508
-2 -0.656092
-1.9 -0.78959
-1.8 -0.887127
-1.7 -0.948565
-1.6 -0.97447
-1.5 -0.965409
-1.4 -0.921947
-1.3 -0.844651
-1.2 -0.734086
-1.1 -0.591031
-1 -0.420368
-0.9 -0.230688
-0.8 -0.0307192
-0.7 0.170812
-0.6 0.36518
-0.5 0.543657
-0.4 0.697516
-0.3 0.818913
-0.2 0.905629
-0.1 0.957659
-1.02696e-15 0.975002
0.1 0.957659
0.2 0.905629
0.3 0.818913
0.4 0.697516
0.5 0.543657
0.6 0.36518
0.7 0.170812
0.8 -0.0307192
0.9 -0.230688
1 -0.420368
1.1 -0.591031
1.2 -0.734086
1.3 -0.844651
1.4 -0.921947
1.5 -0.965409
1.6 -0.97447
1.7 -0.948565
1.8 -0.887127
1.9 -0.78959
2 -0.656092
2.1 -0.492508
2.2 -0.307516
2.3 -0.109812
2.4 0.0919059
2.5 0.288941
2.6 0.472597
2.7 0.634178
2.8 0.766564
2.9 0.86766
3 0.936361
3.1 0.971566
3.2 0.972171
3.3 0.937076
3.4 0.865177
3.5 0.755463
3.6 0.610819
3.7 0.439399
3.8 0.249734
3.9 0.0503519
4 -0.150218
4.1 -0.343446
4.2 -0.520804
4.3 -0.674123
4.4 -0.799055
4.5 -0.893554
4.6 -0.955607
4.7 -0.983199
4.8 -0.974317
4.9 -0.926946
5 -0.839072
